0	15	75	98	77	86	79	5	54	28	19	10	17	69	64	74	53	91	90	42	7	16	22	22	89	44	92	36	4	34
15	0	2	4	26	69	24	61	54	93	35	53	13	34	45	81	48	19	86	7	58	20	33	92	85	42	44	37	87	90
75	2	0	12	86	41	62	60	25	21	56	31	92	39	2	42	41	31	35	97	84	98	80	94	37	82	85	34	46	79
98	4	12	0	27	43	35	32	74	74	90	13	58	92	47	96	98	47	32	60	28	82	30	12	81	67	89	75	41	95
77	26	86	27	0	4	67	52	4	37	41	34	42	86	70	26	67	93	13	4	99	74	26	87	80	50	30	48	34	44
86	69	41	43	4	0	51	37	84	70	30	56	68	73	95	90	64	53	62	63	30	77	2	29	30	55	83	35	8	92
79	24	62	35	67	51	0	63	78	28	91	72	55	90	57	35	65	91	15	35	65	42	20	40	72	4	4	42	5	61
5	61	60	32	52	37	63	0	11	42	31	33	51	42	20	9	32	28	22	4	94	73	67	90	29	88	93	34	56	76
54	54	25	74	4	84	78	11	0	6	35	89	3	24	4	13	26	93	22	82	91	16	23	4	38	73	20	55	23	12
28	93	21	74	37	70	28	42	6	0	98	7	85	62	34	77	87	16	80	75	11	14	79	97	54	54	66	8	90	62
19	35	56	90	41	30	91	31	35	98	0	83	97	61	14	38	80	92	66	81	80	94	26	51	73	46	73	93	30	40
10	53	31	13	34	56	72	33	89	7	83	0	70	52	10	70	27	48	97	22	74	87	36	59	78	90	30	64	59	72
17	13	92	58	42	68	55	51	3	85	97	70	0	46	57	51	33	48	13	47	28	39	28	75	96	82	93	12	4	96
69	34	39	92	86	73	90	42	24	62	61	52	46	0	1	70	91	47	55	68	79	67	22	83	40	90	3	100	92	12
64	45	2	47	70	95	57	20	4	34	14	10	57	1	0	69	3	8	29	90	26	49	38	97	63	15	26	82	64	22
74	81	42	96	26	90	35	9	13	77	38	70	51	70	69	0	42	48	21	97	19	79	50	66	28	2	8	30	60	26
53	48	41	98	67	64	65	32	26	87	80	27	33	91	3	42	0	72	11	13	35	90	46	86	22	4	64	8	2	95
91	19	31	47	93	53	91	28	93	16	92	48	48	47	8	48	72	0	98	99	27	44	96	69	90	69	1	10	57	5
90	86	35	32	13	62	15	22	22	80	66	97	13	55	29	21	11	98	0	3	63	49	89	45	11	47	42	35	45	24
42	7	97	60	4	63	35	4	82	75	81	22	47	68	90	97	13	99	3	0	25	87	26	54	51	45	100	27	82	51
7	58	84	28	99	30	65	94	91	11	80	74	28	79	26	19	35	27	63	25	0	64	63	83	5	40	94	38	56	95
16	20	98	82	74	77	42	73	16	14	94	87	39	67	49	79	90	44	49	87	64	0	66	66	63	51	94	28	23	60
22	33	80	30	26	2	20	67	23	79	26	36	28	22	38	50	46	96	89	26	63	66	0	61	97	47	99	17	39	59
22	92	94	12	87	29	40	90	4	97	51	59	75	83	97	66	86	69	45	54	83	66	61	0	34	94	100	9	53	48
89	85	37	81	80	30	72	29	38	54	73	78	96	40	63	28	22	90	11	51	5	63	97	34	0	26	13	96	42	50
44	42	82	67	50	55	4	88	73	54	46	90	82	90	15	2	4	69	47	45	40	51	47	94	26	0	30	72	42	21
92	44	85	89	30	83	4	93	20	66	73	30	93	3	26	8	64	1	42	100	94	94	99	100	13	30	0	9	81	50
36	37	34	75	48	35	42	34	55	8	93	64	12	100	82	30	8	10	35	27	38	28	17	9	96	72	9	0	27	21
4	87	46	41	34	8	5	56	23	90	30	59	4	92	64	60	2	57	45	82	56	23	39	53	42	42	81	27	0	4
34	90	79	95	44	92	61	76	12	62	40	72	96	12	22	26	95	5	24	51	95	60	59	48	50	21	50	21	4	0
